deliverable_id,role,population,dimension,label,source_order,series,quantity,pair,source_file,source_table_id,source_section,source_row_key,source_column_locator,source_value_string,parsed_value,interval_lower_string,parsed_interval_lower,interval_upper_string,parsed_interval_upper,estimate_status,interval_status,original_status_string,interval_method,confidence_level,denominator_string,sample_size,denominator_unit,support_string,support_band,exported_caution,eligible_for_per_label_performance,eligible_for_macro_average,performance_metrics_reportable,unavailable_reason,presentation_note
Supplementary Table S1,tabulated,baseline,Taxonomy fit,Cannot assess from register entry,4,Part A,proportion,,analysis/scratch_coder_results/results.md,S9T003,S9,Cannot assess from register entry,Estimate / count / flag; Interval lower; Interval upper; Estimate / interval status; method; draws,0.04,0.04,0.01845916060207442,0.01845916060207442,0.08451346421655606,0.08451346421655606,R,R,R/R; wilson_score; confidence 95%; supplementary Wilson 95%; calculated 2026-09-07T14:24:27.146711+00:00; source analysis/outputs_validation_wilson_baseline_20260907T142427225531Z/wilson_intervals.csv,wilson_score,95%,150 records,150,records,,,,,,,,Record-majority response category; distinct from Part B labelwise-majority coverage.
Supplementary Table S1,tabulated,baseline,Taxonomy fit,No majority / split judgement,5,Part A,count,,analysis/scratch_coder_results/results.md,S9T003,S9,No majority / split judgement,Estimate / count / flag; Interval lower; Interval upper; Estimate / interval status; method; draws,13,13,,,,,R,N,R/N,,,150 records,150,records,,,,,,,,Record-majority response category; distinct from Part B labelwise-majority coverage.
Supplementary Table S1,tabulated,baseline,Taxonomy fit,No majority / split judgement,5,Part A,proportion,,analysis/scratch_coder_results/results.md,S9T003,S9,No majority / split judgement,Estimate / count / flag; Interval lower; Interval upper; Estimate / interval status; method; draws,0.08666666666666667,0.08666666666666667,0.051347178274724174,0.051347178274724174,0.14262822373621914,0.14262822373621914,R,R,R/R; wilson_score; confidence 95%; supplementary Wilson 95%; calculated 2026-09-07T14:24:27.146711+00:00; source analysis/outputs_validation_wilson_baseline_20260907T142427225531Z/wilson_intervals.csv,wilson_score,95%,150 records,150,records,,,,,,,,Record-majority response category; distinct from Part B labelwise-majority coverage.
Supplementary Table S1,tabulated,hard_case,Taxonomy fit,Fit,1,Part A,count,,analysis/scratch_coder_results/results.md,S9T004,S9,Fit,Estimate / count / flag; Interval lower; Interval upper; Estimate / interval status; method; draws,54,54,,,,,R,N,R/N,,,75 records,75,records,,,,,,,,Record-majority response category; distinct from Part B labelwise-majority coverage.
Supplementary Table S1,tabulated,hard_case,Taxonomy fit,Fit,1,Part A,proportion,,analysis/scratch_coder_results/results.md,S9T004,S9,Fit,Estimate / count / flag; Interval lower; Interval upper; Estimate / interval status; method; draws,0.72,0.72,,,,,R,A,R/A,,,75 records,75,records,,,,,,,Interval unavailable in the source.,Record-majority response category; distinct from Part B labelwise-majority coverage.
Supplementary Table S1,tabulated,hard_case,Taxonomy fit,Partial Fit,2,Part A,count,,analysis/scratch_coder_results/results.md,S9T004,S9,Partial Fit,Estimate / count / flag; Interval lower; Interval upper; Estimate / interval status; method; draws,11,11,,,,,R,N,R/N,,,75 records,75,records,,,,,,,,Record-majority response category; distinct from Part B labelwise-majority coverage.
Supplementary Table S1,tabulated,hard_case,Taxonomy fit,Partial Fit,2,Part A,proportion,,analysis/scratch_coder_results/results.md,S9T004,S9,Partial Fit,Estimate / count / flag; Interval lower; Interval upper; Estimate / interval status; method; draws,0.14666666666666667,0.14666666666666667,,,,,R,A,R/A,,,75 records,75,records,,,,,,,Interval unavailable in the source.,Record-majority response category; distinct from Part B labelwise-majority coverage.
Supplementary Table S1,tabulated,hard_case,Taxonomy fit,No Fit,3,Part A,count,,analysis/scratch_coder_results/results.md,S9T004,S9,No Fit,Estimate / count / flag; Interval lower; Interval upper; Estimate / interval status; method; draws,0,0,,,,,R,N,R/N,,,75 records,75,records,,,,,,,,Record-majority response category; distinct from Part B labelwise-majority coverage.
Supplementary Table S1,tabulated,hard_case,Taxonomy fit,No Fit,3,Part A,proportion,,analysis/scratch_coder_results/results.md,S9T004,S9,No Fit,Estimate / count / flag; Interval lower; Interval upper; Estimate / interval status; method; draws,0.0,0.0,,,,,R,A,R/A,,,75 records,75,records,,,,,,,Interval unavailable in the source.,Record-majority response category; distinct from Part B labelwise-majority coverage.
Supplementary Table S1,tabulated,hard_case,Taxonomy fit,Cannot assess from register entry,4,Part A,count,,analysis/scratch_coder_results/results.md,S9T004,S9,Cannot assess from register entry,Estimate / count / flag; Interval lower; Interval upper; Estimate / interval status; method; draws,1,1,,,,,R,N,R/N,,,75 records,75,records,,,,,,,,Record-majority response category; distinct from Part B labelwise-majority coverage.
Supplementary Table S1,tabulated,hard_case,Taxonomy fit,Cannot assess from register entry,4,Part A,proportion,,analysis/scratch_coder_results/results.md,S9T004,S9,Cannot assess from register entry,Estimate / count / flag; Interval lower; Interval upper; Estimate / interval status; method; draws,0.013333333333333334,0.013333333333333334,,,,,R,A,R/A,,,75 records,75,records,,,,,,,Interval unavailable in the source.,Record-majority response category; distinct from Part B labelwise-majority coverage.
Supplementary Table S1,tabulated,hard_case,Taxonomy fit,No majority / split judgement,5,Part A,count,,analysis/scratch_coder_results/results.md,S9T004,S9,No majority / split judgement,Estimate / count / flag; Interval lower; Interval upper; Estimate / interval status; method; draws,9,9,,,,,R,N,R/N,,,75 records,75,records,,,,,,,,Record-majority response category; distinct from Part B labelwise-majority coverage.
Supplementary Table S1,tabulated,hard_case,Taxonomy fit,No majority / split judgement,5,Part A,proportion,,analysis/scratch_coder_results/results.md,S9T004,S9,No majority / split judgement,Estimate / count / flag; Interval lower; Interval upper; Estimate / interval status; method; draws,0.12,0.12,,,,,R,A,R/A,,,75 records,75,records,,,,,,,Interval unavailable in the source.,Record-majority response category; distinct from Part B labelwise-majority coverage.
Supplementary Table S1,tabulated,baseline,Analytical Purposes,size_0,,Part B,majority_set_size,,analysis/outputs_majority_coverage_20260914T170315Z/majority_coverage.csv,majority_coverage.csv,majority_set_size,baseline|Analytical Purposes|majority_set_size|size_0,count; denominator; note,24,24,,,,,R,N,reported count / interval not applicable,,,150,150,records,,,,,,,,Labelwise majority set size.
Supplementary Table S1,tabulated,baseline,Analytical Purposes,size_1,,Part B,majority_set_size,,analysis/outputs_majority_coverage_20260914T170315Z/majority_coverage.csv,majority_coverage.csv,majority_set_size,baseline|Analytical Purposes|majority_set_size|size_1,count; denominator; note,123,123,,,,,R,N,reported count / interval not applicable,,,150,150,records,,,,,,,,Labelwise majority set size.
Supplementary Table S1,tabulated,baseline,Analytical Purposes,size_2,,Part B,majority_set_size,,analysis/outputs_majority_coverage_20260914T170315Z/majority_coverage.csv,majority_coverage.csv,majority_set_size,baseline|Analytical Purposes|majority_set_size|size_2,count; denominator; note,3,3,,,,,R,N,reported count / interval not applicable,,,150,150,records,,,,,,,,Labelwise majority set size.
Supplementary Table S1,tabulated,baseline,Analytical Purposes,size_3,,Part B,majority_set_size,,analysis/outputs_majority_coverage_20260914T170315Z/majority_coverage.csv,majority_coverage.csv,majority_set_size,baseline|Analytical Purposes|majority_set_size|size_3,count; denominator; note,0,0,,,,,R,N,reported count / interval not applicable,,,150,150,records,,,,,,,,Labelwise majority set size.
Supplementary Table S1,tabulated,baseline,Analytical Purposes,size_4_plus,,Part B,majority_set_size,,analysis/outputs_majority_coverage_20260914T170315Z/majority_coverage.csv,majority_coverage.csv,majority_set_size,baseline|Analytical Purposes|majority_set_size|size_4_plus,count; denominator; note,0,0,,,,,R,N,reported count / interval not applicable,,,150,150,records,,,,,,,,Labelwise majority set size.
Supplementary Table S1,tabulated,baseline,Analytical Purposes,unclear_absent__substantive_absent,,Part B,unclear_composition,,analysis/outputs_majority_coverage_20260914T170315Z/majority_coverage.csv,majority_coverage.csv,unclear_composition,baseline|Analytical Purposes|unclear_composition|unclear_absent__substantive_absent,count; denominator; note,24,24,,,,,R,N,reported count / interval not applicable,,,150,150,records,,,,,,,,Descriptive set-membership cross-tab; no interpretation is inferred.
Supplementary Table S1,tabulated,baseline,Analytical Purposes,unclear_absent__substantive_present,,Part B,unclear_composition,,analysis/outputs_majority_coverage_20260914T170315Z/majority_coverage.csv,majority_coverage.csv,unclear_composition,baseline|Analytical Purposes|unclear_composition|unclear_absent__substantive_present,count; denominator; note,100,100,,,,,R,N,reported count / interval not applicable,,,150,150,records,,,,,,,,Descriptive set-membership cross-tab; no interpretation is inferred.
Supplementary Table S1,tabulated,baseline,Analytical Purposes,unclear_present__substantive_absent,,Part B,unclear_composition,,analysis/outputs_majority_coverage_20260914T170315Z/majority_coverage.csv,majority_coverage.csv,unclear_composition,baseline|Analytical Purposes|unclear_composition|unclear_present__substantive_absent,count; denominator; note,26,26,,,,,R,N,reported count / interval not applicable,,,150,150,records,,,,,,,,Descriptive set-membership cross-tab; no interpretation is inferred.
Supplementary Table S1,tabulated,baseline,Analytical Purposes,unclear_present__substantive_present,,Part B,unclear_composition,,analysis/outputs_majority_coverage_20260914T170315Z/majority_coverage.csv,majority_coverage.csv,unclear_composition,baseline|Analytical Purposes|unclear_composition|unclear_present__substantive_present,count; denominator; note,0,0,,,,,R,N,reported count / interval not applicable,,,150,150,records,,,,,,,,Descriptive set-membership cross-tab; no interpretation is inferred.
Supplementary Table S1,tabulated,baseline,Research Domains,size_0,,Part B,majority_set_size,,analysis/outputs_majority_coverage_20260914T170315Z/majority_coverage.csv,majority_coverage.csv,majority_set_size,baseline|Research Domains|majority_set_size|size_0,count; denominator; note,5,5,,,,,R,N,reported count / interval not applicable,,,150,150,records,,,,,,,,Labelwise majority set size.
Supplementary Table S1,tabulated,baseline,Research Domains,size_1,,Part B,majority_set_size,,analysis/outputs_majority_coverage_20260914T170315Z/majority_coverage.csv,majority_coverage.csv,majority_set_size,baseline|Research Domains|majority_set_size|size_1,count; denominator; note,120,120,,,,,R,N,reported count / interval not applicable,,,150,150,records,,,,,,,,Labelwise majority set size.
Supplementary Table S1,tabulated,baseline,Research Domains,size_2,,Part B,majority_set_size,,analysis/outputs_majority_coverage_20260914T170315Z/majority_coverage.csv,majority_coverage.csv,majority_set_size,baseline|Research Domains|majority_set_size|size_2,count; denominator; note,22,22,,,,,R,N,reported count / interval not applicable,,,150,150,records,,,,,,,,Labelwise majority set size.
Supplementary Table S1,tabulated,baseline,Research Domains,size_3,,Part B,majority_set_size,,analysis/outputs_majority_coverage_20260914T170315Z/majority_coverage.csv,majority_coverage.csv,majority_set_size,baseline|Research Domains|majority_set_size|size_3,count; denominator; note,3,3,,,,,R,N,reported count / interval not applicable,,,150,150,records,,,,,,,,Labelwise majority set size.
Supplementary Table S1,tabulated,baseline,Research Domains,size_4_plus,,Part B,majority_set_size,,analysis/outputs_majority_coverage_20260914T170315Z/majority_coverage.csv,majority_coverage.csv,majority_set_size,baseline|Research Domains|majority_set_size|size_4_plus,count; denominator; note,0,0,,,,,R,N,reported count / interval not applicable,,,150,150,records,,,,,,,,Labelwise majority set size.
Supplementary Table S1,tabulated,baseline,Research Domains,unclear_absent__substantive_absent,,Part B,unclear_composition,,analysis/outputs_majority_coverage_20260914T170315Z/majority_coverage.csv,majority_coverage.csv,unclear_composition,baseline|Research Domains|unclear_composition|unclear_absent__substantive_absent,count; denominator; note,5,5,,,,,R,N,reported count / interval not applicable,,,150,150,records,,,,,,,,Descriptive set-membership cross-tab; no interpretation is inferred.
Supplementary Table S1,tabulated,baseline,Research Domains,unclear_absent__substantive_present,,Part B,unclear_composition,,analysis/outputs_majority_coverage_20260914T170315Z/majority_coverage.csv,majority_coverage.csv,unclear_composition,baseline|Research Domains|unclear_composition|unclear_absent__substantive_present,count; denominator; note,132,132,,,,,R,N,reported count / interval not applicable,,,150,150,records,,,,,,,,Descriptive set-membership cross-tab; no interpretation is inferred.
Supplementary Table S1,tabulated,baseline,Research Domains,unclear_present__substantive_absent,,Part B,unclear_composition,,analysis/outputs_majority_coverage_20260914T170315Z/majority_coverage.csv,majority_coverage.csv,unclear_composition,baseline|Research Domains|unclear_composition|unclear_present__substantive_absent,count; denominator; note,13,13,,,,,R,N,reported count / interval not applicable,,,150,150,records,,,,,,,,Descriptive set-membership cross-tab; no interpretation is inferred.
Supplementary Table S1,tabulated,baseline,Research Domains,unclear_present__substantive_present,,Part B,unclear_composition,,analysis/outputs_majority_coverage_20260914T170315Z/majority_coverage.csv,majority_coverage.csv,unclear_composition,baseline|Research Domains|unclear_composition|unclear_present__substantive_present,count; denominator; note,0,0,,,,,R,N,reported count / interval not applicable,,,150,150,records,,,,,,,,Descriptive set-membership cross-tab; no interpretation is inferred.
Supplementary Table S1,tabulated,hard_case,Analytical Purposes,size_0,,Part B,majority_set_size,,analysis/outputs_majority_coverage_20260914T170315Z/majority_coverage.csv,majority_coverage.csv,majority_set_size,hard_case|Analytical Purposes|majority_set_size|size_0,count; denominator; note,9,9,,,,,R,N,reported count / interval not applicable,,,75,75,records,,,,,,,,Labelwise majority set size.
Supplementary Table S1,tabulated,hard_case,Analytical Purposes,size_1,,Part B,majority_set_size,,analysis/outputs_majority_coverage_20260914T170315Z/majority_coverage.csv,majority_coverage.csv,majority_set_size,hard_case|Analytical Purposes|majority_set_size|size_1,count; denominator; note,62,62,,,,,R,N,reported count / interval not applicable,,,75,75,records,,,,,,,,Labelwise majority set size.
Supplementary Table S1,tabulated,hard_case,Analytical Purposes,size_2,,Part B,majority_set_size,,analysis/outputs_majority_coverage_20260914T170315Z/majority_coverage.csv,majority_coverage.csv,majority_set_size,hard_case|Analytical Purposes|majority_set_size|size_2,count; denominator; note,4,4,,,,,R,N,reported count / interval not applicable,,,75,75,records,,,,,,,,Labelwise majority set size.
Supplementary Table S1,tabulated,hard_case,Analytical Purposes,size_3,,Part B,majority_set_size,,analysis/outputs_majority_coverage_20260914T170315Z/majority_coverage.csv,majority_coverage.csv,majority_set_size,hard_case|Analytical Purposes|majority_set_size|size_3,count; denominator; note,0,0,,,,,R,N,reported count / interval not applicable,,,75,75,records,,,,,,,,Labelwise majority set size.
Supplementary Table S1,tabulated,hard_case,Analytical Purposes,size_4_plus,,Part B,majority_set_size,,analysis/outputs_majority_coverage_20260914T170315Z/majority_coverage.csv,majority_coverage.csv,majority_set_size,hard_case|Analytical Purposes|majority_set_size|size_4_plus,count; denominator; note,0,0,,,,,R,N,reported count / interval not applicable,,,75,75,records,,,,,,,,Labelwise majority set size.
Supplementary Table S1,tabulated,hard_case,Analytical Purposes,unclear_absent__substantive_absent,,Part B,unclear_composition,,analysis/outputs_majority_coverage_20260914T170315Z/majority_coverage.csv,majority_coverage.csv,unclear_composition,hard_case|Analytical Purposes|unclear_composition|unclear_absent__substantive_absent,count; denominator; note,9,9,,,,,R,N,reported count / interval not applicable,,,75,75,records,,,,,,,,Descriptive set-membership cross-tab; no interpretation is inferred.
Supplementary Table S1,tabulated,hard_case,Analytical Purposes,unclear_absent__substantive_present,,Part B,unclear_composition,,analysis/outputs_majority_coverage_20260914T170315Z/majority_coverage.csv,majority_coverage.csv,unclear_composition,hard_case|Analytical Purposes|unclear_composition|unclear_absent__substantive_present,count; denominator; note,46,46,,,,,R,N,reported count / interval not applicable,,,75,75,records,,,,,,,,Descriptive set-membership cross-tab; no interpretation is inferred.
Supplementary Table S1,tabulated,hard_case,Analytical Purposes,unclear_present__substantive_absent,,Part B,unclear_composition,,analysis/outputs_majority_coverage_20260914T170315Z/majority_coverage.csv,majority_coverage.csv,unclear_composition,hard_case|Analytical Purposes|unclear_composition|unclear_present__substantive_absent,count; denominator; note,20,20,,,,,R,N,reported count / interval not applicable,,,75,75,records,,,,,,,,Descriptive set-membership cross-tab; no interpretation is inferred.
Supplementary Table S1,tabulated,hard_case,Analytical Purposes,unclear_present__substantive_present,,Part B,unclear_composition,,analysis/outputs_majority_coverage_20260914T170315Z/majority_coverage.csv,majority_coverage.csv,unclear_composition,hard_case|Analytical Purposes|unclear_composition|unclear_present__substantive_present,count; denominator; note,0,0,,,,,R,N,reported count / interval not applicable,,,75,75,records,,,,,,,,Descriptive set-membership cross-tab; no interpretation is inferred.
Supplementary Table S1,tabulated,hard_case,Research Domains,size_0,,Part B,majority_set_size,,analysis/outputs_majority_coverage_20260914T170315Z/majority_coverage.csv,majority_coverage.csv,majority_set_size,hard_case|Research Domains|majority_set_size|size_0,count; denominator; note,6,6,,,,,R,N,reported count / interval not applicable,,,75,75,records,,,,,,,,Labelwise majority set size.
Supplementary Table S1,tabulated,hard_case,Research Domains,size_1,,Part B,majority_set_size,,analysis/outputs_majority_coverage_20260914T170315Z/majority_coverage.csv,majority_coverage.csv,majority_set_size,hard_case|Research Domains|majority_set_size|size_1,count; denominator; note,48,48,,,,,R,N,reported count / interval not applicable,,,75,75,records,,,,,,,,Labelwise majority set size.
Supplementary Table S1,tabulated,hard_case,Research Domains,size_2,,Part B,majority_set_size,,analysis/outputs_majority_coverage_20260914T170315Z/majority_coverage.csv,majority_coverage.csv,majority_set_size,hard_case|Research Domains|majority_set_size|size_2,count; denominator; note,18,18,,,,,R,N,reported count / interval not applicable,,,75,75,records,,,,,,,,Labelwise majority set size.
Supplementary Table S1,tabulated,hard_case,Research Domains,size_3,,Part B,majority_set_size,,analysis/outputs_majority_coverage_20260914T170315Z/majority_coverage.csv,majority_coverage.csv,majority_set_size,hard_case|Research Domains|majority_set_size|size_3,count; denominator; note,3,3,,,,,R,N,reported count / interval not applicable,,,75,75,records,,,,,,,,Labelwise majority set size.
