deliverable_id,role,population,dimension,label,source_order,series,quantity,pair,source_file,source_table_id,source_section,source_row_key,source_column_locator,source_value_string,parsed_value,interval_lower_string,parsed_interval_lower,interval_upper_string,parsed_interval_upper,estimate_status,interval_status,original_status_string,interval_method,confidence_level,denominator_string,sample_size,denominator_unit,support_string,support_band,exported_caution,eligible_for_per_label_performance,eligible_for_macro_average,performance_metrics_reportable,unavailable_reason,presentation_note,derivation_id,derivation_operands,row_group,display_percent
Table 3,tabulated,baseline,Research Domains,Crime & Justice,2,contingency,tn,,analysis/scratch_coder_results/results.md,S5T003,S5,Crime & Justice,Estimate / count / flag; Interval lower; Interval upper; Estimate / interval status; method; draws,146,146,,,,,R,N,R/N,,,150 records,150,records,4,RARE,False,False,False,False,,,,,Fewer than 10 records (counts only),
Table 3,tabulated,baseline,Research Domains,Crime & Justice,2,performance,precision,,analysis/scratch_coder_results/results.md,S5T009,S5,Crime & Justice; Fable 5 versus labelwise human majority,Estimate / count / flag; Interval lower; Interval upper; Estimate / interval status; method; draws,,,,,,,W,W,W/W,,,4 model-positive records (precision denominator),4,model-positive,4,RARE,False,False,False,False,Intentionally withheld by the source reporting rule.,,,,Fewer than 10 records (counts only),
Table 3,tabulated,baseline,Research Domains,Crime & Justice,2,performance,recall,,analysis/scratch_coder_results/results.md,S5T009,S5,Crime & Justice; Fable 5 versus labelwise human majority,Estimate / count / flag; Interval lower; Interval upper; Estimate / interval status; method; draws,,,,,,,W,W,W/W,,,4 human-majority-positive records (recall denominator),4,human-majority-positive,4,RARE,False,False,False,False,Intentionally withheld by the source reporting rule.,,,,Fewer than 10 records (counts only),
Table 3,tabulated,baseline,Research Domains,Crime & Justice,2,performance,f1,,analysis/scratch_coder_results/results.md,S5T009,S5,Crime & Justice; Fable 5 versus labelwise human majority,Estimate / count / flag; Interval lower; Interval upper; Estimate / interval status; method; draws,,,,,,,W,W,W/W,,,TP=4; FP=0; FN=0; denominator: precision+recall (source harmonic-mean definition); resulting denominator not separately exported,,,4,RARE,False,False,False,False,Intentionally withheld by the source reporting rule.,,,,Fewer than 10 records (counts only),
Table 3,tabulated,baseline,Research Domains,Data Infrastructure & Methodology,3,contingency,tp,,analysis/scratch_coder_results/results.md,S5T003,S5,Data Infrastructure & Methodology,Estimate / count / flag; Interval lower; Interval upper; Estimate / interval status; method; draws,0,0,,,,,R,N,R/N,,,150 records,150,records,0,RARE,False,False,False,False,,,,,Fewer than 10 records (counts only),
Table 3,tabulated,baseline,Research Domains,Data Infrastructure & Methodology,3,contingency,fp,,analysis/scratch_coder_results/results.md,S5T003,S5,Data Infrastructure & Methodology,Estimate / count / flag; Interval lower; Interval upper; Estimate / interval status; method; draws,4,4,,,,,R,N,R/N,,,150 records,150,records,0,RARE,False,False,False,False,,,,,Fewer than 10 records (counts only),
Table 3,tabulated,baseline,Research Domains,Data Infrastructure & Methodology,3,contingency,fn,,analysis/scratch_coder_results/results.md,S5T003,S5,Data Infrastructure & Methodology,Estimate / count / flag; Interval lower; Interval upper; Estimate / interval status; method; draws,0,0,,,,,R,N,R/N,,,150 records,150,records,0,RARE,False,False,False,False,,,,,Fewer than 10 records (counts only),
Table 3,tabulated,baseline,Research Domains,Data Infrastructure & Methodology,3,contingency,tn,,analysis/scratch_coder_results/results.md,S5T003,S5,Data Infrastructure & Methodology,Estimate / count / flag; Interval lower; Interval upper; Estimate / interval status; method; draws,146,146,,,,,R,N,R/N,,,150 records,150,records,0,RARE,False,False,False,False,,,,,Fewer than 10 records (counts only),
Table 3,tabulated,baseline,Research Domains,Data Infrastructure & Methodology,3,performance,precision,,analysis/scratch_coder_results/results.md,S5T009,S5,Data Infrastructure & Methodology; Fable 5 versus labelwise human majority,Estimate / count / flag; Interval lower; Interval upper; Estimate / interval status; method; draws,,,,,,,W,W,W/W,,,4 model-positive records (precision denominator),4,model-positive,0,RARE,False,False,False,False,Intentionally withheld by the source reporting rule.,,,,Fewer than 10 records (counts only),
Table 3,tabulated,baseline,Research Domains,Data Infrastructure & Methodology,3,performance,recall,,analysis/scratch_coder_results/results.md,S5T009,S5,Data Infrastructure & Methodology; Fable 5 versus labelwise human majority,Estimate / count / flag; Interval lower; Interval upper; Estimate / interval status; method; draws,,,,,,,W,W,W/W,,,0 human-majority-positive records (recall denominator),0,human-majority-positive,0,RARE,False,False,False,False,Intentionally withheld by the source reporting rule.,,,,Fewer than 10 records (counts only),
