deliverable_id,role,population,dimension,label,source_order,series,quantity,pair,source_file,source_table_id,source_section,source_row_key,source_column_locator,source_value_string,parsed_value,interval_lower_string,parsed_interval_lower,interval_upper_string,parsed_interval_upper,estimate_status,interval_status,original_status_string,interval_method,confidence_level,denominator_string,sample_size,denominator_unit,support_string,support_band,exported_caution,eligible_for_per_label_performance,eligible_for_macro_average,performance_metrics_reportable,unavailable_reason,presentation_note,derivation_id,derivation_operands,row_group,display_percent
Supplementary Figure S2,plotted,baseline,Taxonomy fit,Cannot assess from register entry,4,Taxonomy fit,category count,C03,analysis/scratch_coder_results/results.md,S9T001,S9,C03; Cannot assess from register entry,Estimate / count / flag (count and proportion rows),1,1,0.006666666666666667,0.006666666666666667,,,R,N,R/N,,,150 coder responses,150,coder,,,,,,,,,,,,
Supplementary Figure S2,plotted,baseline,Taxonomy fit,Fit,1,Taxonomy fit,category count,Majority of coders,analysis/scratch_coder_results/results.md,S9T003,S9,Fit,Estimate / count / flag (count and proportion rows),119,119,0.7933333333333333,0.7933333333333333,,,R,N,R/N,,,150 records,150,records,,,,,,,,,,,,
Supplementary Figure S2,plotted,baseline,Taxonomy fit,Partial Fit,2,Taxonomy fit,category count,Majority of coders,analysis/scratch_coder_results/results.md,S9T003,S9,Partial Fit,Estimate / count / flag (count and proportion rows),12,12,0.08,0.08,,,R,N,R/N,,,150 records,150,records,,,,,,,,,,,,
Supplementary Figure S2,plotted,baseline,Taxonomy fit,No Fit,3,Taxonomy fit,category count,Majority of coders,analysis/scratch_coder_results/results.md,S9T003,S9,No Fit,Estimate / count / flag (count and proportion rows),0,0,0.0,0.0,,,R,N,R/N,,,150 records,150,records,,,,,,,,,,,,
Supplementary Figure S2,plotted,baseline,Taxonomy fit,Cannot assess from register entry,4,Taxonomy fit,category count,Majority of coders,analysis/scratch_coder_results/results.md,S9T003,S9,Cannot assess from register entry,Estimate / count / flag (count and proportion rows),6,6,0.04,0.04,,,R,N,R/N,,,150 records,150,records,,,,,,,,,,,,
Supplementary Figure S2,plotted,baseline,Taxonomy fit,No majority / split judgement,5,Taxonomy fit,category count,Majority of coders,analysis/scratch_coder_results/results.md,S9T003,S9,No majority / split judgement,Estimate / count / flag (count and proportion rows),13,13,0.08666666666666667,0.08666666666666667,,,R,N,R/N,,,150 records,150,records,,,,,,,,,,,,
Supplementary Figure S2,plotted,hard_case,Taxonomy fit,Fit,1,Taxonomy fit,category count,C01,analysis/scratch_coder_results/results.md,S9T002,S9,C01; Fit,Estimate / count / flag (count and proportion rows),47,47,0.6266666666666667,0.6266666666666667,,,R,N,R/N,,,75 coder responses,75,coder,,,,,,,,,,,,
Supplementary Figure S2,plotted,hard_case,Taxonomy fit,Partial Fit,2,Taxonomy fit,category count,C01,analysis/scratch_coder_results/results.md,S9T002,S9,C01; Partial Fit,Estimate / count / flag (count and proportion rows),13,13,0.17333333333333334,0.17333333333333334,,,R,N,R/N,,,75 coder responses,75,coder,,,,,,,,,,,,
Supplementary Figure S2,plotted,hard_case,Taxonomy fit,No Fit,3,Taxonomy fit,category count,C01,analysis/scratch_coder_results/results.md,S9T002,S9,C01; No Fit,Estimate / count / flag (count and proportion rows),1,1,0.013333333333333334,0.013333333333333334,,,R,N,R/N,,,75 coder responses,75,coder,,,,,,,,,,,,
Supplementary Figure S2,plotted,hard_case,Taxonomy fit,Cannot assess from register entry,4,Taxonomy fit,category count,C01,analysis/scratch_coder_results/results.md,S9T002,S9,C01; Cannot assess from register entry,Estimate / count / flag (count and proportion rows),14,14,0.18666666666666668,0.18666666666666668,,,R,N,R/N,,,75 coder responses,75,coder,,,,,,,,,,,,
Supplementary Figure S2,plotted,hard_case,Taxonomy fit,Fit,1,Taxonomy fit,category count,C02,analysis/scratch_coder_results/results.md,S9T002,S9,C02; Fit,Estimate / count / flag (count and proportion rows),65,65,0.8666666666666667,0.8666666666666667,,,R,N,R/N,,,75 coder responses,75,coder,,,,,,,,,,,,
Supplementary Figure S2,plotted,hard_case,Taxonomy fit,Partial Fit,2,Taxonomy fit,category count,C02,analysis/scratch_coder_results/results.md,S9T002,S9,C02; Partial Fit,Estimate / count / flag (count and proportion rows),6,6,0.08,0.08,,,R,N,R/N,,,75 coder responses,75,coder,,,,,,,,,,,,
Supplementary Figure S2,plotted,hard_case,Taxonomy fit,No Fit,3,Taxonomy fit,category count,C02,analysis/scratch_coder_results/results.md,S9T002,S9,C02; No Fit,Estimate / count / flag (count and proportion rows),0,0,0.0,0.0,,,R,N,R/N,,,75 coder responses,75,coder,,,,,,,,,,,,
Supplementary Figure S2,plotted,hard_case,Taxonomy fit,Cannot assess from register entry,4,Taxonomy fit,category count,C02,analysis/scratch_coder_results/results.md,S9T002,S9,C02; Cannot assess from register entry,Estimate / count / flag (count and proportion rows),4,4,0.05333333333333334,0.05333333333333334,,,R,N,R/N,,,75 coder responses,75,coder,,,,,,,,,,,,
Supplementary Figure S2,plotted,hard_case,Taxonomy fit,Fit,1,Taxonomy fit,category count,C03,analysis/scratch_coder_results/results.md,S9T002,S9,C03; Fit,Estimate / count / flag (count and proportion rows),38,38,0.5066666666666667,0.5066666666666667,,,R,N,R/N,,,75 coder responses,75,coder,,,,,,,,,,,,
Supplementary Figure S2,plotted,hard_case,Taxonomy fit,Partial Fit,2,Taxonomy fit,category count,C03,analysis/scratch_coder_results/results.md,S9T002,S9,C03; Partial Fit,Estimate / count / flag (count and proportion rows),35,35,0.4666666666666667,0.4666666666666667,,,R,N,R/N,,,75 coder responses,75,coder,,,,,,,,,,,,
Supplementary Figure S2,plotted,hard_case,Taxonomy fit,No Fit,3,Taxonomy fit,category count,C03,analysis/scratch_coder_results/results.md,S9T002,S9,C03; No Fit,Estimate / count / flag (count and proportion rows),1,1,0.013333333333333334,0.013333333333333334,,,R,N,R/N,,,75 coder responses,75,coder,,,,,,,,,,,,
Supplementary Figure S2,plotted,hard_case,Taxonomy fit,Cannot assess from register entry,4,Taxonomy fit,category count,C03,analysis/scratch_coder_results/results.md,S9T002,S9,C03; Cannot assess from register entry,Estimate / count / flag (count and proportion rows),1,1,0.013333333333333334,0.013333333333333334,,,R,N,R/N,,,75 coder responses,75,coder,,,,,,,,,,,,
Supplementary Figure S2,plotted,hard_case,Taxonomy fit,Fit,1,Taxonomy fit,category count,Majority of coders,analysis/scratch_coder_results/results.md,S9T004,S9,Fit,Estimate / count / flag (count and proportion rows),54,54,0.72,0.72,,,R,N,R/N,,,75 records,75,records,,,,,,,,,,,,
Supplementary Figure S2,plotted,hard_case,Taxonomy fit,Partial Fit,2,Taxonomy fit,category count,Majority of coders,analysis/scratch_coder_results/results.md,S9T004,S9,Partial Fit,Estimate / count / flag (count and proportion rows),11,11,0.14666666666666667,0.14666666666666667,,,R,N,R/N,,,75 records,75,records,,,,,,,,,,,,
Supplementary Figure S2,plotted,hard_case,Taxonomy fit,No Fit,3,Taxonomy fit,category count,Majority of coders,analysis/scratch_coder_results/results.md,S9T004,S9,No Fit,Estimate / count / flag (count and proportion rows),0,0,0.0,0.0,,,R,N,R/N,,,75 records,75,records,,,,,,,,,,,,
Supplementary Figure S2,plotted,hard_case,Taxonomy fit,Cannot assess from register entry,4,Taxonomy fit,category count,Majority of coders,analysis/scratch_coder_results/results.md,S9T004,S9,Cannot assess from register entry,Estimate / count / flag (count and proportion rows),1,1,0.013333333333333334,0.013333333333333334,,,R,N,R/N,,,75 records,75,records,,,,,,,,,,,,
Supplementary Figure S2,plotted,hard_case,Taxonomy fit,No majority / split judgement,5,Taxonomy fit,category count,Majority of coders,analysis/scratch_coder_results/results.md,S9T004,S9,No majority / split judgement,Estimate / count / flag (count and proportion rows),9,9,0.12,0.12,,,R,N,R/N,,,75 records,75,records,,,,,,,,,,,,
Supplementary Figure S2,plotted,baseline,Coder confidence,High,1,Coder confidence,category count,C01,analysis/confidence_exploratory/results_confidence.md,SCF1T001,SCF1T001,C01|High,count; proportion; denominator,61,61,0.4066666666666667,0.4066666666666667,,,R,N,reported/reported,,,150,150,records,,,,,,,,,,,,
Supplementary Figure S2,plotted,baseline,Coder confidence,Medium,2,Coder confidence,category count,C01,analysis/confidence_exploratory/results_confidence.md,SCF1T001,SCF1T001,C01|Medium,count; proportion; denominator,82,82,0.5466666666666666,0.5466666666666666,,,R,N,reported/reported,,,150,150,records,,,,,,,,,,,,
Supplementary Figure S2,plotted,baseline,Coder confidence,Low,3,Coder confidence,category count,C01,analysis/confidence_exploratory/results_confidence.md,SCF1T001,SCF1T001,C01|Low,count; proportion; denominator,7,7,0.04666666666666667,0.04666666666666667,,,R,N,reported/reported,,,150,150,records,,,,,,,,,,,,
Supplementary Figure S2,plotted,baseline,Coder confidence,High,1,Coder confidence,category count,C02,analysis/confidence_exploratory/results_confidence.md,SCF1T001,SCF1T001,C02|High,count; proportion; denominator,57,57,0.38,0.38,,,R,N,reported/reported,,,150,150,records,,,,,,,,,,,,
Supplementary Figure S2,plotted,baseline,Coder confidence,Medium,2,Coder confidence,category count,C02,analysis/confidence_exploratory/results_confidence.md,SCF1T001,SCF1T001,C02|Medium,count; proportion; denominator,85,85,0.5666666666666667,0.5666666666666667,,,R,N,reported/reported,,,150,150,records,,,,,,,,,,,,
Supplementary Figure S2,plotted,baseline,Coder confidence,Low,3,Coder confidence,category count,C02,analysis/confidence_exploratory/results_confidence.md,SCF1T001,SCF1T001,C02|Low,count; proportion; denominator,8,8,0.05333333333333334,0.05333333333333334,,,R,N,reported/reported,,,150,150,records,,,,,,,,,,,,
Supplementary Figure S2,plotted,baseline,Coder confidence,High,1,Coder confidence,category count,C03,analysis/confidence_exploratory/results_confidence.md,SCF1T001,SCF1T001,C03|High,count; proportion; denominator,75,75,0.5,0.5,,,R,N,reported/reported,,,150,150,records,,,,,,,,,,,,
Supplementary Figure S2,plotted,baseline,Coder confidence,Medium,2,Coder confidence,category count,C03,analysis/confidence_exploratory/results_confidence.md,SCF1T001,SCF1T001,C03|Medium,count; proportion; denominator,75,75,0.5,0.5,,,R,N,reported/reported,,,150,150,records,,,,,,,,,,,,
Supplementary Figure S2,plotted,baseline,Coder confidence,Low,3,Coder confidence,category count,C03,analysis/confidence_exploratory/results_confidence.md,SCF1T001,SCF1T001,C03|Low,count; proportion; denominator,0,0,0.0,0.0,,,R,N,reported/reported,,,150,150,records,,,,,,,,,,,,
Supplementary Figure S2,plotted,baseline,Coder confidence,High,1,Coder confidence,category count,Majority of coders,analysis/confidence_exploratory/results_confidence.md,SCF1T002,SCF1T002,Majority of coders|High,count; proportion; denominator,64,64,0.4266666666666667,0.4266666666666667,,,R,N,reported/reported,,,150,150,records,,,,,,,,,,,,
Supplementary Figure S2,plotted,baseline,Coder confidence,Medium,2,Coder confidence,category count,Majority of coders,analysis/confidence_exploratory/results_confidence.md,SCF1T002,SCF1T002,Majority of coders|Medium,count; proportion; denominator,79,79,0.5266666666666666,0.5266666666666666,,,R,N,reported/reported,,,150,150,records,,,,,,,,,,,,
Supplementary Figure S2,plotted,baseline,Coder confidence,Low,3,Coder confidence,category count,Majority of coders,analysis/confidence_exploratory/results_confidence.md,SCF1T002,SCF1T002,Majority of coders|Low,count; proportion; denominator,0,0,0.0,0.0,,,R,N,reported/reported,,,150,150,records,,,,,,,,,,,,
Supplementary Figure S2,plotted,baseline,Coder confidence,No majority,4,Coder confidence,category count,Majority of coders,analysis/confidence_exploratory/results_confidence.md,SCF1T002,SCF1T002,Majority of coders|No majority,count; proportion; denominator,7,7,0.04666666666666667,0.04666666666666667,,,R,N,reported/reported,,,150,150,records,,,,,,,,,,,,
Supplementary Figure S2,caption,baseline,Coder confidence,,,Ordinal Krippendorff’s α,alpha,,analysis/confidence_exploratory/results_confidence.md,SCF1T003,SCF1T003,alpha,alpha; ci_lower; ci_upper; replicate fields,0.18209041188026154,0.18209041188026154,0.07872545505759505,0.07872545505759505,0.283043590671762,0.283043590671762,R,R,,,0.95,150,150,records,,,,,,,,"{""requested_replicates"": ""2000"", ""valid_replicates"": ""2000"", ""invalid_replicates"": ""0""}",,,,
Supplementary Figure S2,caption,baseline,Coder confidence,,,Unanimity,count,,analysis/confidence_exploratory/results_confidence.md,SCF1T004,SCF1T004,unanimous confidence count,count; denominator,55,55,,,,,R,N,,,,150,150,records,,,,,,,,,,,,
Supplementary Figure S2,plotted,hard_case,Coder confidence,High,1,Coder confidence,category count,C01,analysis/confidence_exploratory/results_confidence.md,SCF1T006,SCF1T006,C01|High,count; proportion; denominator,23,23,0.30666666666666664,0.30666666666666664,,,R,N,reported/not_applied_diagnostic_sample,,,75,75,records,,,,,,,,,,,,
Supplementary Figure S2,plotted,hard_case,Coder confidence,Medium,2,Coder confidence,category count,C01,analysis/confidence_exploratory/results_confidence.md,SCF1T006,SCF1T006,C01|Medium,count; proportion; denominator,47,47,0.6266666666666667,0.6266666666666667,,,R,N,reported/not_applied_diagnostic_sample,,,75,75,records,,,,,,,,,,,,
Supplementary Figure S2,plotted,hard_case,Coder confidence,Low,3,Coder confidence,category count,C01,analysis/confidence_exploratory/results_confidence.md,SCF1T006,SCF1T006,C01|Low,count; proportion; denominator,5,5,0.06666666666666667,0.06666666666666667,,,R,N,reported/not_applied_diagnostic_sample,,,75,75,records,,,,,,,,,,,,
Supplementary Figure S2,plotted,hard_case,Coder confidence,High,1,Coder confidence,category count,C02,analysis/confidence_exploratory/results_confidence.md,SCF1T006,SCF1T006,C02|High,count; proportion; denominator,24,24,0.32,0.32,,,R,N,reported/not_applied_diagnostic_sample,,,75,75,records,,,,,,,,,,,,
Supplementary Figure S2,plotted,hard_case,Coder confidence,Medium,2,Coder confidence,category count,C02,analysis/confidence_exploratory/results_confidence.md,SCF1T006,SCF1T006,C02|Medium,count; proportion; denominator,48,48,0.64,0.64,,,R,N,reported/not_applied_diagnostic_sample,,,75,75,records,,,,,,,,,,,,
Supplementary Figure S2,plotted,hard_case,Coder confidence,Low,3,Coder confidence,category count,C02,analysis/confidence_exploratory/results_confidence.md,SCF1T006,SCF1T006,C02|Low,count; proportion; denominator,3,3,0.04,0.04,,,R,N,reported/not_applied_diagnostic_sample,,,75,75,records,,,,,,,,,,,,
Supplementary Figure S2,plotted,hard_case,Coder confidence,High,1,Coder confidence,category count,C03,analysis/confidence_exploratory/results_confidence.md,SCF1T006,SCF1T006,C03|High,count; proportion; denominator,31,31,0.41333333333333333,0.41333333333333333,,,R,N,reported/not_applied_diagnostic_sample,,,75,75,records,,,,,,,,,,,,
Supplementary Figure S2,plotted,hard_case,Coder confidence,Medium,2,Coder confidence,category count,C03,analysis/confidence_exploratory/results_confidence.md,SCF1T006,SCF1T006,C03|Medium,count; proportion; denominator,44,44,0.5866666666666667,0.5866666666666667,,,R,N,reported/not_applied_diagnostic_sample,,,75,75,records,,,,,,,,,,,,
Supplementary Figure S2,plotted,hard_case,Coder confidence,Low,3,Coder confidence,category count,C03,analysis/confidence_exploratory/results_confidence.md,SCF1T006,SCF1T006,C03|Low,count; proportion; denominator,0,0,0.0,0.0,,,R,N,reported/not_applied_diagnostic_sample,,,75,75,records,,,,,,,,,,,,
Supplementary Figure S2,plotted,hard_case,Coder confidence,High,1,Coder confidence,category count,Majority of coders,analysis/confidence_exploratory/results_confidence.md,SCF1T007,SCF1T007,Majority of coders|High,count; proportion; denominator,19,19,0.25333333333333335,0.25333333333333335,,,R,N,reported/not_applied_diagnostic_sample,,,75,75,records,,,,,,,,,,,,
