dataset,dataset_family,projects
Capital Stock 2014,,1
Census 2001,Census,1
Census 2011 (CENW),Census,1
Census 2011 Aggregate,Census,1
Census 2011 Ethnicity,Census,1
Census 2011 Household Sample,Census,1
Census 2011 Household Sample England and Wales,Census,1
Census 2011 Household Sample Scotland,Census,1
Census 2011 Household and Individual England and Wales,Census,1
Census 2011 Individual England and Wales,Census,1
Census 2011 Individual Northern Ireland,Census,1
Census 2011 Individual Sample England and Wales,Census,1
Census 2011 Individual Scotland,Census,1
Census 2011 Individual Secure Sample England and Wales,Census,1
Census 2011 Northern Ireland,Census,1
Census 2011 Origin-Destination Flow,Census,1
Census 2021 (CENS) Ministry of Justice,Census,1
Census 2021 10% Sample,Census,1
Census 2021 Household Secure Microdata Sample,Census,1
Census 2021 Household Secure Microdata Sample England and Wales,Census,1
Census 2021 Indexed,Census,1
Census 2021 Non-Response Link Study England and Wales,Census,1
Census 2021 Non-Response Link Study England and Wales Indexed,Census,1
Census 2021 Origin-Destination Tables England and Wales,Census,1
Census 2022,Census,1
Census Wales 2021 Household,Census,1
Childcare and Early Years Provision: Providers' Survey,,1
Children and Family Court Advisory and Support Service (CAFCASS England),,1
Civil Society Organisations,,1
Coronavirus and the social impacts on,,1
Council Tax Property Attributes,,1
Crime Survey for England and Wales 1996 - 2011,,1
Crown Court (CRCO),,1
DBT: Longitudinal Small Business Survey,,1
DEA Research Project Accreditation,,1
Death,,1
Death registrations in England and Wales indexed,Death Registrations,1
Department for Education Longistudinal Study of young people in England,,1
Designs and Trade Marks from,,1
Designs and Trade Marks from Intellectual Property Office,,1
DfT: National Travel Survey,,1
Digital Economy Survey,,1
E-Commerce and Digital Economy Survey - UK Department For Education: Employer Skills Survey and Investment in Training,,1
EOL,,1
EOL Dataset (2015-2022),,1
Economy Survey,,1
Emergency Care Data Set monthly in England indexed,,1
Employer Skills Survey 2011-2019,,1
Employment Survey,,1
Energy Performance Certification,,1
English Housing Survey,,1
English Longitudinal Study of Ageing,,1
Enhanced Linked Trade-in-Goods/Inter-Departmental Business Register,,1
Family Court (FACO),,1
Family Expenditure Survey,,1
Family Man,,1
Financial Assets and Liabilities Survey,,1
Food Survey,,1
Foreign Direct Investment,,1
Foreign Direct Investment Index,,1
General Household Survey,,1
General Lifestyle Survey to 2010,,1
Growing Up in England Wave 2 Vulnerability Measures,GUIE,1
Harmonised BHPS Waves 1-18,,1
Health Survey for England,,1
Health and Lifestyle Survey,,1
Households Below Average Income,,1
Infant Mortality linkage of 2011 Census,,1
Integrated Data Asset Hospital Episode,,1
Inter-Departmental Business Register (IDBR),,1
Investment by insurance companies,,1
Investment in Intangible Assets,,1
KIntegrated Data Service Environment Health Cohort Spine,,1
Labour Force Survey Indexed,Labour Force Survey,1
Linked Credit Reference Agency (CRA),,1
Linked Director's mortality,,1
Linked Inter-Departmental Business Register and Valuation Office Agency,,1
Longitudinal Business Register,,1
Longitudinal InterDepartmental Business,,1
Low Carbon and,,1
MOJDF cross justice linking (Cross-Justice System Linking dataset) and MAGS CROWN JOURNEY,,1
Magistrates Court (MACO),,1
Maternal Deaths,,1
MoJ Data First Family Court Data Extract,Data First,1
MoJ Data First Familyman Family Court,Data First,1
MoJ Data First Link,Data First,1
MoJ Data First Linked Criminal Courts And Prisons Defendant,Data First,1
MoJ Data First Magistrates Court Defendant Iteration 2,Data First,1
MoJ Data First Offender Assessment,Data First,1
MoJ Data First Prison Iteration 2,Data First,1
MoJ Data First Prisoner Custodial Journey Level,Data First,1
Monthly Business Survey for Construction and Allied Trades,,1
NHS Test and Trace,,1
NI Annual Business Inquiry,,1
NN4B,,1
National Energy Efficiency,,1
National Travel Survey England,,1
New Earnings Survey 1986-2202,,1
Northern Ireland Census 2021 Microdata,Census,1
Northern Ireland Census linked to ASHE,Census,1
Northern Ireland Economic Trade,,1
O2 mobile network operator travel and location data,,1
ONS Longitudinal Study 1971,,1
ONS Omnibus Survey,,1
Occupational differences in mortality from COVID-19,,1
Prisoner Custodial Journey Dataset (PRIS),,1
Provisional Monthly Extracts England and Wales,,1
Public Attitudes Tracker,,1
Quarterly Labour Force Survey Economic and Social Research Council: Integrated Census Microdata,Labour Force Survey,1
Quarterly Labour Force Survey Household,Labour Force Survey,1
Quarterly Survey of Financial Assets and Liabilities,,1
RETIRED MoJ Data First Crown Court Defendant,Data First,1
Renewable Energy,,1
Retail Price Index,,1
Retired Ministry of Justice Data First Probation,,1
Safeguarded Living Costs and Food Survey,,1
Schools Daily Contact Testing,,1
Secure Access version of Understanding Society Data and Harmonised BHPS Geography files,,1
Short Term Employment Survey,,1
Skills and Employment Surveys Series,,1
Small Business Survey Longitudinal,,1
Smart Energy Research Lab Observatory,,1
Standard Industrial Classification and Occupational lookup,,1
Statutory Homelessness Flows,,1
Street Level Crime for England,,1
Structure Database,,1
Survey of Personal Incomes,,1
Trace,,1
Trade in Services,,1
UK Gross Value Added for lower layer super output areas,,1
UK Household Electricity and Activity Survey,,1
UK Household Longitudinal Study Mainstage Survey Wave 6,,1
UK Household Longitudinal Study Mainstage Survey Wave 9 &,,1
UK Innovation Survey 1994-2023,,1
UK small area gross value added estimates,,1
Understanding Society Waves 1-9,,1
Understanding Society and Harmonised BHPS,,1
Wealth and Assets Survey Great Britain,,1
pension funds and trusts,,1
udinal Busin ess Database,,1
