field,canonical_entity,source_form_class,distinct_observed_forms,total_occurrences,modal_form_occurrences,minimum_required_relabels,records,changed_occurrences,fragmentation_rank
datasets,Survey of Innovation and Patent Use,single_observed_form,1,2,2,0,2,0,
datasets,Community Innovation Survey,single_observed_form,1,9,9,0,9,0,
datasets,Annual Business Inquiry,fragmented_observed_forms,2,11,9,2,11,2,77
datasets,Annual Inquiry into Foreign Direct Investment,single_observed_form,1,4,4,0,4,0,
datasets,Annual Respondents Database X,fragmented_observed_forms,10,62,23,39,62,41,8
datasets,Capital Stock Dataset,fragmented_observed_forms,3,5,3,2,5,4,84
datasets,Financial Assets and Liabilities Survey,single_observed_form,1,1,1,0,1,0,
datasets,Inter-Departmental Business Register (IDBR),single_observed_form,1,1,1,0,1,1,
datasets,Investment in Intangible Assets,single_observed_form,1,1,1,0,1,0,
datasets,Monthly Wages and Salary Survey,fragmented_observed_forms,5,10,4,6,10,9,44
datasets,New Earnings Survey (NES),fragmented_observed_forms,5,19,8,11,18,19,27
datasets,Quarterly Capital Expenditure Survey,fragmented_observed_forms,3,14,10,4,14,4,55
datasets,Vacancy Survey,fragmented_observed_forms,2,13,7,6,13,6,43
datasets,Employer Skills Survey,fragmented_observed_forms,3,9,4,5,9,5,49
datasets,Workplace Employment Relations Survey,fragmented_observed_forms,2,14,9,5,13,5,47
datasets,Small Business Survey Longitudinal,single_observed_form,1,1,1,0,1,0,
datasets,Annual Respondents Database 2,fragmented_observed_forms,5,18,10,8,18,14,33
datasets,Designs and Trade Marks Office for National Statistics /,single_observed_form,1,1,1,0,1,0,
datasets,COVID-19 Infection Survey linked to UK Innovation Survey,single_observed_form,1,1,1,0,1,1,
datasets,Longitudinal Inter-Departmental Business Register,fragmented_observed_forms,6,17,10,7,17,7,35
datasets,Producer Price Index,fragmented_observed_forms,3,9,5,4,9,4,58
datasets,National Employer Skills Survey,fragmented_observed_forms,3,9,5,4,9,6,57
datasets,Longitudinal Labour Force Survey,single_observed_form,1,3,3,0,3,0,
datasets,COVID-19 Weekly Opinions Survey,fragmented_observed_forms,2,2,1,1,2,1,116
datasets,COVID-19 Infection Survey linked to VOA and EPC,single_observed_form,1,2,2,0,2,2,
datasets,COVID-19 Infection Survey with National Immunisation Management Service,single_observed_form,1,1,1,0,1,1,
datasets,COVID-19 Infection Survey linked to Death Occurrences England and Wales Office for National Statistics /,single_observed_form,1,1,1,0,1,1,
datasets,COVID-19 Infection Survey linked to Public Health Research Database,single_observed_form,1,1,1,0,1,1,
datasets,Labour Force Survey Five-Quarter Longitudinal,single_observed_form,1,7,7,0,7,7,
datasets,Annual Population Survey: Well-Being,fragmented_observed_forms,2,5,4,1,5,1,101
datasets,Valuation data of Scottish properties,single_observed_form,1,1,1,0,1,0,
datasets,Quarterly Fuels Inquiry,fragmented_observed_forms,3,10,7,3,10,3,65
datasets,Death,single_observed_form,1,1,1,0,1,1,
datasets,Annual Survey of Hours and Earnings linked to Census 2011,fragmented_observed_forms,6,24,18,6,24,23,39
datasets,Census Wales 2011,fragmented_observed_forms,6,30,17,13,30,23,20
datasets,Monthly Inquiry into the Distributive and Services Sector (MIDSS),fragmented_observed_forms,2,2,1,1,2,2,124
datasets,Monthly Production Inquiry (MPI),fragmented_observed_forms,2,2,1,1,2,2,125
datasets,Linked Inter-Departmental Business Register and Valuation Office Agency,single_observed_form,1,1,1,0,1,0,
datasets,Management and Expectations Survey (MES),fragmented_observed_forms,4,25,14,11,25,25,24
datasets,Low Carbon and Renewable Energy Economy Survey,fragmented_observed_forms,4,14,7,7,14,7,37
datasets,Coronavirus and the Social Impacts on Great Britain,fragmented_observed_forms,2,20,19,1,20,20,95
datasets,Annual Gas and Electricity Consumption at Meter Level,fragmented_observed_forms,2,3,2,1,3,2,106
datasets,Census 1961,fragmented_observed_forms,2,4,3,1,4,1,102
datasets,Census 1971,fragmented_observed_forms,2,4,3,1,4,1,103
datasets,Census 1981,fragmented_observed_forms,3,3,1,2,3,2,91
datasets,2020 Wave 1 Labour Force Survey,single_observed_form,1,1,1,0,1,0,
datasets,COVID-19 Infection Survey (CIS),fragmented_observed_forms,5,23,9,14,23,23,19
datasets,Annual Population Survey Persons,fragmented_observed_forms,3,4,2,2,4,4,87
datasets,Annual Population Survey Household,single_observed_form,1,6,6,0,6,0,
datasets,Occupational differences in mortality from COVID-19,single_observed_form,1,1,1,0,1,0,
datasets,Labour Force Survey Household,fragmented_observed_forms,8,48,21,27,48,36,12
datasets,Labour Force Survey Longitudinal,fragmented_observed_forms,5,39,22,17,39,27,17
datasets,Quarterly Survey of Financial Assets and Liabilities,single_observed_form,1,1,1,0,1,0,
datasets,Death Registration Data - Provisional Monthly Extracts,fragmented_observed_forms,5,10,5,5,10,10,48
datasets,Death Registrations in England and Wales,fragmented_observed_forms,3,4,2,2,4,3,89
datasets,Census 2001 Individual,fragmented_observed_forms,2,3,2,1,3,3,108
datasets,Census 2011 England and Wales Household Structure for COVID-19 Models,fragmented_observed_forms,3,3,1,2,3,3,93
datasets,Census 2011 Household Sample England and Wales,single_observed_form,1,1,1,0,1,1,
datasets,Linked Trade-in-Goods/IDBR,fragmented_observed_forms,5,10,3,7,10,8,38
datasets,National Energy Efficiency,single_observed_form,1,1,1,0,1,1,
datasets,Linked Director's mortality,single_observed_form,1,1,1,0,1,1,
datasets,New Earnings Survey Panel,single_observed_form,1,7,7,0,7,7,
datasets,Opinions and Lifestyle Survey (OPN),fragmented_observed_forms,5,18,12,6,18,17,41
datasets,COVID-19 Schools Infection Survey,fragmented_observed_forms,3,4,2,2,4,3,88
datasets,COVID-19 Schools Infection Survey linked to National Immunisation Management Service,single_observed_form,1,1,1,0,1,1,
datasets,COVID-19 School Infection Survey linked to NHS Test,single_observed_form,1,1,1,0,1,1,
datasets,Trace,single_observed_form,1,1,1,0,1,1,
datasets,Census 2011 Origin-Destination,fragmented_observed_forms,3,3,1,2,3,2,94
datasets,Understanding Society Waves 1-9,single_observed_form,1,1,1,0,1,0,
datasets,Harmonised BHPS Waves 1-18,single_observed_form,1,1,1,0,1,0,
datasets,Linked Census and Death Occurrences,fragmented_observed_forms,3,7,5,2,7,7,80
datasets,Census 2011 Ethnicity,single_observed_form,1,1,1,0,1,1,
datasets,Census 1991,single_observed_form,1,2,2,0,2,0,
datasets,Census 2001,single_observed_form,1,1,1,0,1,0,
datasets,Annual Purchases Survey,fragmented_observed_forms,4,22,11,11,22,11,26
datasets,Census 2011 England and Wales: Household structure for COVID-19 models,single_observed_form,1,1,1,0,1,0,
datasets,Effects of Taxes and Benefits on Household Income,fragmented_observed_forms,2,2,1,1,2,2,121
datasets,Management Practices Survey,fragmented_observed_forms,2,9,6,3,9,3,66
datasets,Consumer Prices Index,fragmented_observed_forms,5,15,5,10,15,13,32
datasets,Census 2011 England,fragmented_observed_forms,2,2,1,1,2,1,117
datasets,Understanding Society BHPS,fragmented_observed_forms,2,2,1,1,2,1,126
datasets,Understanding Society UKHLS,fragmented_observed_forms,2,3,2,1,3,1,114
datasets,COVID-19 Infection Survey linked to Combined Vaccination,fragmented_observed_forms,2,3,2,1,3,3,107
datasets,Growing Up in England Wave 1 (GUIE),single_observed_form,1,12,12,0,12,12,
datasets,"Linked Census, HES and Mortality Data",single_observed_form,1,3,3,0,3,0,
datasets,Public Health Research Database,single_observed_form,1,7,7,0,7,0,
datasets,MoJ Data First Crown Court Defendant Case Level,fragmented_observed_forms,2,11,8,3,10,11,63
datasets,MoJ Data First Linked Criminal Courts Defendant Case Level,single_observed_form,1,5,5,0,5,5,
datasets,MoJ Data First Magistrates' Court Defendant Case Level,fragmented_observed_forms,3,10,6,4,10,10,56
datasets,MoJ Data First Prisoner Custodial Journey,fragmented_observed_forms,6,9,3,6,9,6,46
datasets,MoJ Data First Probation,fragmented_observed_forms,4,7,4,3,7,3,69
datasets,Linked Census and death occurrences Office for National Statistics /,single_observed_form,1,1,1,0,1,0,
datasets,Wealth and Assets Survey Great Britain,single_observed_form,1,1,1,0,1,0,
datasets,Capital Stock 2014,single_observed_form,1,1,1,0,1,0,
datasets,Investment in Intangible Assets Survey,fragmented_observed_forms,2,7,4,3,7,4,68
datasets,Trade in Services,single_observed_form,1,1,1,0,1,0,
datasets,Birth Registrations in England and Wales,fragmented_observed_forms,2,6,3,3,6,6,71
datasets,Longitudinal Education Outcomes (LEO),fragmented_observed_forms,15,119,55,64,118,117,4
datasets,State-funded schools inspections and outcomes,single_observed_form,1,1,1,0,1,1,
datasets,Annual Survey of Hours and Earnings Longitudinal,fragmented_observed_forms,10,42,25,17,41,37,16
datasets,General Lifestyle Survey to 2010,single_observed_form,1,1,1,0,1,0,
datasets,Department for Business,single_observed_form,1,3,3,0,3,0,
datasets,Energy and Industrial Strategy: Community Innovation Survey,single_observed_form,1,1,1,0,1,0,
datasets,BHPS,single_observed_form,1,2,2,0,2,0,
datasets,Earnings and Employees Study (EES) 2011 - Northern Ireland,fragmented_observed_forms,2,4,3,1,4,4,104
datasets,Prices Survey Microdata,fragmented_observed_forms,2,3,2,1,3,1,112
datasets,Census 2011 Aggregate,single_observed_form,1,1,1,0,1,1,
datasets,Census 2001 Household,fragmented_observed_forms,3,3,1,2,3,3,92
datasets,Understanding Society and Harmonised BHPS,single_observed_form,1,1,1,0,1,0,
datasets,Provisional Monthly Extracts England and Wales,single_observed_form,1,1,1,0,1,0,
datasets,UK Gross Value Added,single_observed_form,1,2,2,0,2,0,
datasets,Secure Access version of Understanding Society Data and Harmonised BHPS Geography files,single_observed_form,1,1,1,0,1,0,
datasets,Annual Acquisition and Disposals of Capital Assets Survey,single_observed_form,1,1,1,0,1,0,
datasets,Workplace Employee Relations Survey,single_observed_form,1,1,1,0,1,0,
datasets,Census 2011 Northern Ireland,single_observed_form,1,1,1,0,1,1,
datasets,Secure Census 2011 Scotland,single_observed_form,1,1,1,0,1,0,
datasets,Northern Ireland School Census,single_observed_form,1,2,2,0,2,0,
datasets,Northern Ireland School Leavers Survey,single_observed_form,1,1,1,0,1,0,
datasets,Northern Ireland Exams Database,single_observed_form,1,1,1,0,1,0,
datasets,MoJ Data First Linked Criminal Courts,fragmented_observed_forms,2,4,3,1,4,1,105
datasets,MoJ Data First Crown Court Defendant,fragmented_observed_forms,5,7,2,5,7,6,50
datasets,Infant Mortality linkage of 2011 Census,single_observed_form,1,1,1,0,1,0,
datasets,Births and Deaths,single_observed_form,1,1,1,0,1,0,
datasets,Waves 1-10 and Harmonised BHPS Geography files,single_observed_form,1,2,2,0,2,0,
datasets,COVID-19 Infection Survey with Combined Vaccination,single_observed_form,1,2,2,0,2,2,
datasets,Census 2011 Household,fragmented_observed_forms,4,5,2,3,3,5,73
