rank,canonical_value,affected_records,total_occurrences,unique_records,changed_occurrences,n_distinct_raw_variants,existing_match_types,raw_variants,raw_variants_suppressed,suppression_reason
101,Department of Health (Northern Ireland),1,1,1,1,1,alias,,True,reserve membership artefacts unavailable; all observed raw strings withheld
102,Engineering Construction Industry Training Board (ECITB),1,1,1,1,1,alias,,True,reserve membership artefacts unavailable; all observed raw strings withheld
103,Financial Conduct Authority (FCA),1,1,1,1,1,alias,,True,reserve membership artefacts unavailable; all observed raw strings withheld
104,HM Revenue and Customs (HMRC),1,1,1,1,1,alias,,True,reserve membership artefacts unavailable; all observed raw strings withheld
105,Health Data Research UK (HDR UK),1,1,1,1,1,alias,,True,reserve membership artefacts unavailable; all observed raw strings withheld
106,Institut Européen d'Administration des Affaires (INSEAD),1,1,1,1,1,alias,,True,reserve membership artefacts unavailable; all observed raw strings withheld
107,Institute for Employment Studies (IES),1,1,1,1,1,alias,,True,reserve membership artefacts unavailable; all observed raw strings withheld
108,Institute for Government (IfG),1,1,1,1,1,alias,,True,reserve membership artefacts unavailable; all observed raw strings withheld
109,Institute for the Future of Work (IFOW),1,1,1,1,1,alias,,True,reserve membership artefacts unavailable; all observed raw strings withheld
110,International Monetary Fund (IMF),1,1,1,1,1,alias,,True,reserve membership artefacts unavailable; all observed raw strings withheld
111,Johannes Kepler University Linz,1,1,1,1,1,alias,,True,reserve membership artefacts unavailable; all observed raw strings withheld
112,Joint Biosecurity Centre,1,1,1,1,1,alias,,True,reserve membership artefacts unavailable; all observed raw strings withheld
113,Lancaster University Management School,1,1,1,1,1,alias,,True,reserve membership artefacts unavailable; all observed raw strings withheld
114,London Metropolitan University,1,1,1,1,1,alias,,True,reserve membership artefacts unavailable; all observed raw strings withheld
115,Ministry of Justice (MoJ),1,1,1,1,1,alias,,True,reserve membership artefacts unavailable; all observed raw strings withheld
116,"Ministry of National Education, Republic of Türkiye",1,1,1,1,1,parser_cleanup,,True,reserve membership artefacts unavailable; all observed raw strings withheld
117,Municipal & General (M&G),1,1,1,1,1,alias,,True,reserve membership artefacts unavailable; all observed raw strings withheld
118,NHS England,1,1,1,1,1,alias,,True,reserve membership artefacts unavailable; all observed raw strings withheld
119,Netherlands Interdisciplinary Demographic Institute,1,1,1,1,1,alias,,True,reserve membership artefacts unavailable; all observed raw strings withheld
120,Office for Health Improvement and Disparities (OHID),1,1,1,1,1,alias,,True,reserve membership artefacts unavailable; all observed raw strings withheld
121,Public Health Scotland (PHS),1,1,1,1,1,alias,,True,reserve membership artefacts unavailable; all observed raw strings withheld
122,"SAIL Databank, Swansea University",1,1,1,1,1,alias,,True,reserve membership artefacts unavailable; all observed raw strings withheld
123,Sentencing Academy,1,1,1,1,1,alias,,True,reserve membership artefacts unavailable; all observed raw strings withheld
124,Social Mobility Commission (SMC),1,1,1,1,1,alias,,True,reserve membership artefacts unavailable; all observed raw strings withheld
125,Technological University Dublin,1,1,1,1,1,alias,,True,reserve membership artefacts unavailable; all observed raw strings withheld
126,Umeå University,1,1,1,1,1,alias,,True,reserve membership artefacts unavailable; all observed raw strings withheld
127,University of Illinois Urbana-Champaign,1,1,1,1,1,alias,,True,reserve membership artefacts unavailable; all observed raw strings withheld
128,University of Texas at Austin,1,1,1,1,1,alias,,True,reserve membership artefacts unavailable; all observed raw strings withheld
129,Utrecht University,1,1,1,1,1,alias,,True,reserve membership artefacts unavailable; all observed raw strings withheld
130,Yale University,1,1,1,1,1,alias,,True,reserve membership artefacts unavailable; all observed raw strings withheld
131,University of Strathclyde,0,32,32,0,1,identity,,True,reserve membership artefacts unavailable; all observed raw strings withheld
132,University of Essex,0,26,26,0,1,identity,,True,reserve membership artefacts unavailable; all observed raw strings withheld
133,University of Nottingham,0,23,23,0,1,identity,,True,reserve membership artefacts unavailable; all observed raw strings withheld
134,University of Southampton,0,23,23,0,1,identity,,True,reserve membership artefacts unavailable; all observed raw strings withheld
135,Bank of England,0,22,22,0,1,identity,,True,reserve membership artefacts unavailable; all observed raw strings withheld
136,Queen's University Belfast,0,20,20,0,1,identity,,True,reserve membership artefacts unavailable; all observed raw strings withheld
137,University of Birmingham,0,16,16,0,1,identity,,True,reserve membership artefacts unavailable; all observed raw strings withheld
138,University of London,0,16,16,0,1,identity,,True,reserve membership artefacts unavailable; all observed raw strings withheld
139,Welsh Government,0,14,14,0,1,identity,,True,reserve membership artefacts unavailable; all observed raw strings withheld
140,Simetrica,0,12,12,0,1,identity,,True,reserve membership artefacts unavailable; all observed raw strings withheld
141,University of Leicester,0,11,11,0,1,identity,,True,reserve membership artefacts unavailable; all observed raw strings withheld
